Point,r (m),dr (m),C,dC,q_method1 (C),dq_method1 (C),q_method2 (C),dq_method2 (C)
80.0,5.29001877032853e-07,4.028129147349005e-10,1.1534527992155392,0.00021133150299114785,6.333679378235105e-20,3.1707492478226778e-21,1.015022809640684e-19,5.0813794289155666e-21
81.0,8.333615333537159e-07,5.054683038752882e-10,1.0974283585682116,0.00011908626198508509,3.2954804650737245e-19,1.6491465136251482e-20,3.0862167419982916e-19,1.5444253529338353e-20
82.0,5.392117134513711e-07,1.424445687754873e-09,1.1505492778259323,0.0004904015171228813,1.6569598802089877e-19,8.389792138997147e-21,1.6225359641923451e-19,8.21549129837963e-21
83.0,7.039414448151431e-07,1.4686756727639664e-09,1.1153349427707122,0.00031164663859297847,3.704937833091834e-19,1.86727918286978e-20,2.245050002998965e-19,1.1314994539606881e-20
84.0,6.105247792262113e-07,8.782421230319519e-10,1.1329741802809383,0.00027316019179203174,1.3400739560907765e-19,6.726559556379816e-21,1.6997222930611524e-19,8.531830039392108e-21
85.0,5.565226294320381e-07,8.670400939118779e-10,1.1458694806341612,0.00031707325392527693,1.6405178222011574e-19,8.239913330365766e-21,1.5207744865327917e-19,7.638472313118929e-21
86.0,5.195744907798506e-07,5.75194072066495e-10,1.1562350013953298,0.000269155427936105,1.7690292305537446e-19,8.866328079660796e-21,1.5949134764785195e-19,7.993664489480745e-21
87.0,5.166786903088586e-07,1.0711308238789364e-09,1.1571099637045688,0.0004224379402352902,2.125642928211903e-19,1.0712139708997397e-20,1.7622872488448038e-19,8.881015229067808e-21
88.0,4.7077142191400286e-07,8.398182231172948e-10,1.1724165303278402,0.0004137302504970362,1.4501199390073268e-19,7.293396077436875e-21,1.4258822304134741e-19,7.171492223811172e-21
89.0,6.48727423733215e-07,7.858038122299795e-10,1.12514715538349,0.00022864876428863146,1.6041921068152798e-19,8.043649145793617e-21,1.5591583772440343e-19,7.817843571225132e-21
90.0,5.428680808123348e-07,1.2749384559934747e-09,1.149535990214119,0.0004432584623756605,1.2547743739716807e-19,6.337043104453271e-21,1.368097239430491e-19,6.909362636975735e-21
91.0,6.309123841381414e-07,7.389775266128056e-10,1.128679283766433,0.00022995251357565852,1.4553699610521947e-19,7.296188162481164e-21,1.5330914816595036e-19,7.68582849710447e-21
92.0,5.953567890375314e-07,5.375314823457826e-10,1.1363601545432607,0.0002070772396567251,1.9340779897935227e-19,9.6864192704444e-21,1.6118490289579043e-19,8.072603885436774e-21
93.0,5.621007042545333e-07,1.8800415610959266e-09,1.1444228514063488,0.000571967374271385,1.5288108799014422e-19,7.797893885748002e-21,1.4795598587951742e-19,7.546682803069044e-21
94.0,6.472768810671759e-07,9.94683769706363e-10,1.1254274844343943,0.0002699772804567422,1.3179278289348753e-19,6.6188478079814316e-21,1.4374109700169011e-19,7.21891156646557e-21
95.0,6.757101450936193e-07,1.167150258370352e-09,1.1201517921817095,0.000281519646094804,1.7180845677208203e-19,8.638070628024106e-21,1.630894267693928e-19,8.199701071681468e-21
96.0,4.64252363240724e-07,6.180922576356969e-10,1.1748351986902468,0.00034041377872881583,1.5464515609579993e-19,7.758365825186563e-21,1.5944397453431364e-19,7.999116909246228e-21
